Company, Region, Position, Link
버킷플레이스, 서울 서초구, Data Analyst (콘텐츠) (인턴)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=a155f02d5b393efe&fccid=b55bf4f67c7fe92c&vjs=3 
카카오스타일, 서울 강남구, [인턴] 데이터 파이프라인 개발자 인턴의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=828f68c02cde588b&fccid=31aefb006b7e7e16&vjs=3 
씨젠의료재단, 서울 성동구, (재)씨젠의료재단 EMR개발실 전문인력의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=89caed4b4cc0b73c&fccid=c4bf240b45045a90&vjs=3 
신세계아이앤씨, 서울 중구, 그룹사(신세계포인트) 시스템 개발/운영부문 인재의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=4f105ca2041f20b2&fccid=7009e9adee12ff99&vjs=3 
우리금융캐피탈, 대한민국, 우리금융캐피탈 2022년 정규직 신입사원의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=6f0afacb829ab299&fccid=0940ce34aa9e8236&vjs=3 
인크로스, 서울 관악구, [SK그룹 - 인크로스(주)] 2023년 상반기 신입 (인턴)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=3a467eb1a8425c12&fccid=7f7f71f2cae9a2e3&vjs=3 
하이브, 서울 용산구, [HYBE] 소프트웨어 엔지니어의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=77b703a2be818f0c&fccid=55c46c15186153ee&vjs=3 
엔라이즈, 서울 강남구, 데이터 분석가(Junior)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=35897b09ef53cbfe&fccid=44087c9409db9e88&vjs=3 
나이스페이먼츠, 서울 마포구, [NICE페이먼츠] 22년 신입/경력 상시의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=a07969e108fd0445&fccid=6df96dee14918ee8&vjs=3 
뱅크샐러드, 서울 영등포구, 데이터 사이언티스트의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=38e1291fce686f51&fccid=35209469e1b8c72c&vjs=3 
하이브, 서울 용산구, [HYBE] IT개발(사내시스템개발)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=0201f6731c336049&fccid=55c46c15186153ee&vjs=3 
깃플, 서울 영등포구, Data Scientist(인턴 신입 경력)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=69c2124a41657545&fccid=562beffe7f00c9c4&vjs=3 
웨디, 서울 강남구, (주)웨디 (백엔드 / 프론트엔드 ) 개발자의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=816fd9d5bb024ee1&fccid=0999a3e816a4980e&vjs=3 
KB데이타시스템, 서울 마포구, KB증권 운영업무( 기간계 정보계 / 그룹웨어 / MTS  HTS )의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=660ca8839c20c099&fccid=fe227fbd2afb9580&vjs=3 
펫이지, 서울 종로구, 개발자(PHP/Python/My SQL 등)의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=a9076a5370b2f808&fccid=156bb0350f6796cc&vjs=3 
현대카드 캐피탈, 서울 영등포구, Tableau 개발의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=1ce0aa6580528ff2&fccid=fcc6d6b229369ff5&vjs=3 
교원그룹, 서울특별시, AI/데이터 직군 11월 공개의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=e73e405cc8df07f5&fccid=dd616958bd9ddc12&vjs=3 
현대스틸산업, 서울, 현대스틸산업 IT 담당자의 전체 세부 정보, https://kr.indeed.com/rc/clk?jk=c6e80645512c004f&fccid=9524f649016c6f1d&vjs=3 
